"","site","month","trap.id","median.mass.g","seed.count.log10","portion handled"
"1","forb","pril","forbi.1","0.0176947793758668","0.698970004336019","0.363636363636364"
"2","forb","june","forbi.1","0.0166981801921405","1.38021124171161","0.363636363636364"
"3","forb","june","forbi.1","0.0148793544627466","0.477121254719662","1"
"4","forb","pril","forbi.1","0.0209756382633238","0.301029995663981","1"
"5","forb","june","forbi.1","0.0119288688591873","0","1"
"6","forb","pril","forbi.2","0.0175844134135439","0.477121254719662","0.284090909090909"
"7","forb","june","forbi.2","0.0160267714574602","1.20411998265592","0.284090909090909"
"8","forb","pril","forbi.3","0.0157376564527805","0.698970004336019","0.1875"
"9","forb","june","forbi.3","0.0179067734436428","0.954242509439325","0.1875"
"10","forb","pril","forbi.4","0.0171900847099628","0.903089986991944","0.307971014492754"
"11","forb","june","forbi.4","0.017586372630856","1.25527250510331","0.307971014492754"
"12","forb","june","forbi.5","0.0118521935034266","0.301029995663981","1"
"13","forb","june","forbi.7","0.0111104700249161","0","1"
"14","forb","june","forbi.8","0.0142405377034209","0.301029995663981","1"
"15","mtr1","pril","mtr1.1 ","0.0215538918141697","1","0.578947368421053"
"16","mtr1","june","mtr1.1 ","0.0222574846876219","0.954242509439325","0.578947368421053"
"17","mtr1","pril","mtr1.10","0.0225668116883839","0.301029995663981","1"
"18","mtr1","june","mtr1.10","0.0180686866542869","0.845098040014257","1"
"19","mtr1","june","mtr1.11","0.0176421899510026","0.477121254719662","0.625"
"20","mtr1","pril","mtr1.12","0.0175665986994517","0.301029995663981","0.590909090909091"
"21","mtr1","june","mtr1.12","0.0182618165346567","1.17609125905568","0.590909090909091"
"22","mtr1","pril","mtr1.13","0.0206964130577884","1.46239799789896","1"
"23","mtr1","june","mtr1.13","0.0211383892042427","1.17609125905568","1"
"24","mtr1","pril","mtr1.14","0.0202929018768371","0","1"
"25","mtr1","june","mtr1.14","0.0178174960562383","0.698970004336019","1"
"26","mtr1","pril","mtr1.15","0.0225350536123038","0.301029995663981","0.552238805970149"
"27","mtr1","pril","mtr1.16","0.0240149878487083","1.60205999132796","1"
"28","mtr1","june","mtr1.16","0.022279936169525","1.6232492903979","1"
"29","mtr1","pril","mtr1.17","0.0217903306628415","0.778151250383644","1"
"30","mtr1","june","mtr1.17","0.0231238508246765","0.301029995663981","1"
"31","mtr1","pril","mtr1.2 ","0.0224071506446712","2.04921802267018","0.474387527839644"
"32","mtr1","june","mtr1.2 ","0.0215964644119555","1.98677173426624","0.474387527839644"
"33","mtr1","pril","mtr1.3 ","0.0211170235465527","0.778151250383644","0.866666666666667"
"34","mtr1","june","mtr1.3 ","0.0230436024369904","1.17609125905568","0.866666666666667"
"35","mtr1","pril","mtr1.4 ","0.0210159204503185","1.14612803567824","0.633333333333333"
"36","mtr1","june","mtr1.4 ","0.0192260718273014","1.30102999566398","0.633333333333333"
"37","mtr1","june","mtr1.5 ","0.0129662015507477","0.301029995663981","1"
"38","mtr1","pril","mtr1.6 ","0.0195995689335293","0.602059991327962","1"
"39","mtr1","june","mtr1.6 ","0.0211319087636947","1.04139268515823","1"
"40","mtr1","pril","mtr1.7 ","0.0221617203887822","0.954242509439325","1"
"41","mtr1","june","mtr1.7 ","0.0212591152555896","0.602059991327962","1"
"42","mtr1","pril","mtr1.8 ","0.0227185127673781","2.50514997831991","1"
"43","mtr1","june","mtr1.8 ","0.018512718096639","1.11394335230684","1"
"44","mtr1","pril","mtr1.9 ","0.0213375339004361","1.25527250510331","0.978260869565217"
"45","mtr1","june","mtr1.9 ","0.0187654617449263","1.23044892137827","0.978260869565217"
